iter	RMSE
555	76729.79026
556	76661.95974
557	76651.0369
558	76644.18877
559	76616.38671
560	76606.87566
561	76596.73595
562	76578.08449
563	76502.26137
564	76453.27307
565	76408.91486
566	76386.7817
567	76334.81768
568	76276.53581
569	76259.89858
570	76225.50414
571	76210.15303
572	76191.55586
573	76163.15448
574	76142.67398
575	76123.40382
576	76093.48213
577	76044.83747
578	75998.83177
579	75968.47926
580	75936.79184
581	75915.79695
582	75863.68702
583	75765.018
584	75731.56088
585	75671.4188
586	75635.30247
587	75612.9509
588	75601.789
589	75531.18275
590	75495.32831
591	75434.70288
592	75391.21641
593	75373.05152
594	75341.46155
595	75308.17919
596	75285.59825
597	75261.33555
598	75224.15818
599	75089.13349
600	75064.18745
601	75050.90381
602	75004.65205
603	74982.61364
604	74934.94161
605	74886.27102
606	74852.12172
607	74829.37207
608	74811.73072
609	74774.13536
610	74736.91753
611	74593.94822
612	74574.70771
613	74480.81219
614	74471.10575
615	74436.15966
616	74372.50279
617	74351.47748
618	74312.27474
619	74293.22782
620	74265.54626
621	74261.01438
622	74226.83319
623	74170.6472
624	74130.01754
625	74073.01422
626	74008.25818
627	73959.63117
628	73937.82581
629	73927.17241
630	73896.85236
631	73887.0892
632	73870.22364
633	73839.23446
634	73818.9688
635	73811.35025
636	73726.8631
637	73647.6875
638	73599.73544
639	73586.75043
640	73580.69058
641	73527.1223
642	73517.95284
643	73494.007
644	73470.83979
645	73463.37116
646	73438.32443
647	73427.20346
648	73315.91228
649	73299.00295
650	73290.1947
651	73283.37306
652	73250.9366
653	73236.37239
654	73223.55157
655	73198.05979
656	73188.14709
657	73144.85359
658	73116.36178
659	73066.4951
660	73025.59271
661	73002.24816
662	72993.40476
663	72946.74545
664	72877.89452
665	72824.82282
666	72776.21757
667	72754.68287
668	72715.45466
669	72704.44055
670	72690.82898
671	72671.26189
672	72639.69795
673	72603.9834
674	72512.16896
675	72496.86123
676	72483.49354
677	72453.41291
678	72424.74139
679	72382.16488
680	72363.08333
681	72323.15165
682	72295.39103
683	72279.28031
684	72253.57763
685	72195.15623
686	72184.70892
687	72147.61731
688	72099.13977
689	72050.12657
690	72010.65436
691	71956.97308
692	71948.8365
693	71933.41002
694	71897.34361
695	71868.6941
696	71859.34494
697	71834.76532
698	71812.7269
699	71783.4015
700	71775.06043
701	71757.40395
702	71700.19283
703	71664.54158
704	71643.72211
705	71586.07675
706	71571.17952
707	71522.84289
708	71517.73107
709	71488.89587
710	71472.19072
711	71457.31363
712	71414.59464
713	71378.43359
714	71340.29434
715	71325.46612
716	71305.27288
717	71252.9677
718	71223.08987
719	71176.27122
720	71151.85868
721	71115.64495
722	71092.06198
723	71087.09296
724	71046.34713
725	71011.51271
726	70995.75596
727	70984.08797
728	70851.21586
729	70805.71324
730	70766.82229
731	70740.24649
732	70728.0336
733	70710.08266
734	70684.29656
735	70642.12426
736	70585.12515
737	70538.39944
738	70524.24702
739	70515.48568
740	70482.20505
741	70458.58614
742	70447.19788
743	70403.67716
744	70399.28627
745	70357.04548
746	70278.36165
747	70258.95394
748	70243.95324
749	70225.6659
750	70208.17138
751	70169.46093
752	70126.0786
753	70109.45997
754	70081.67316
755	70048.33921
756	70012.91882
757	69920.50333
758	69915.12594
759	69910.63014
760	69882.06089
761	69839.28642
762	69748.79833
763	69744.24047
764	69731.84413
765	69700.46896
766	69664.19041
767	69581.38794
768	69558.54597
769	69544.4113
770	69509.93832
771	69497.87298
772	69478.16124
773	69429.32556
774	69394.56982
775	69322.17236
776	69282.49011
777	69234.55606
778	69201.73034
779	69164.54761
780	69151.36204
781	69140.02774
782	69128.43037
783	69083.94102
784	69074.28246
785	69043.09324
786	69038.73124
787	69033.87165
788	68959.72967
789	68942.45408
790	68924.85531
791	68914.69214
792	68881.19238
793	68816.43924
794	68809.17037
795	68767.94395
796	68761.36171
797	68742.80467
798	68736.17326
799	68713.31256
800	68669.52291
801	68645.79583
802	68635.28233
803	68600.24297
804	68585.59709
805	68568.67657
806	68558.97695
807	68488.46764
808	68481.00655
809	68465.57753
810	68457.85173
811	68444.10856
812	68430.64496
813	68368.90265
814	68360.80903
815	68337.55824
816	68320.42158
817	68283.32258
818	68280.47754
819	68271.33333
820	68248.66925
821	68227.37865
822	68213.01898
823	68204.2173
824	68193.33075
825	68189.00767
826	68162.40922
827	68141.57715
828	68121.71866
829	68082.53133
830	68071.13881
831	68050.3049
832	68040.79721
833	68028.64621
834	67988.02387
835	67966.79412
836	67955.30779
837	67934.09618
838	67909.17857
839	67893.03815
840	67884.87956
841	67799.2562
842	67740.74539
843	67716.41165
844	67692.53781
845	67681.12241
846	67663.55169
847	67613.8816
848	67598.03331
849	67584.20037
850	67562.85293
851	67546.2767
852	67531.94424
853	67519.88128
854	67515.33872
855	67484.10331
856	67454.58558
857	67450.76502
858	67442.26872
859	67430.71462
860	67367.48665
861	67344.91983
862	67328.63398
863	67320.87439
864	67262.68081
865	67250.24735
866	67245.27281
867	67216.99672
868	67195.55452
869	67175.52932
870	67152.61075
871	67142.50715
872	67103.2429
873	67081.58311
874	67073.14371
875	67050.77481
876	67020.50397
877	67003.38825
878	67001.23168
879	66943.64249
880	66933.79338
881	66914.33588
882	66860.31578
883	66826.17549
884	66782.52669
885	66714.39004
886	66678.29747
887	66656.37366
888	66616.54264
889	66599.74214
890	66579.88085
891	66499.44651
892	66492.59403
893	66483.44494
894	66474.83363
895	66447.65481
896	66438.10904
897	66426.12071
898	66411.45757
899	66407.78815
900	66387.39295
901	66371.60505
902	66362.28312
903	66358.99156
904	66353.3472
905	66342.4441
906	66255.62302
907	66239.78552
908	66219.20476
909	66171.51533
910	66134.05617
911	66101.89435
912	66090.25185
913	66079.55056
914	66078.40366
915	66048.32257
916	66041.72573
917	66014.77038
918	65989.97183
919	65981.66638
920	65947.26317
921	65927.41095
922	65909.57912
923	65881.76274
924	65872.62828
925	65864.69577
926	65861.93974
927	65844.66082
928	65839.47532
929	65808.84424
930	65802.64478
931	65790.65256
932	65788.143
933	65767.12114
934	65742.34379
935	65737.1343
936	65690.27394
937	65602.93004
938	65600.14712
939	65566.01794
940	65509.72638
941	65488.89247
942	65481.39448
943	65465.38328
944	65426.14157
945	65411.13217
946	65408.21951
947	65397.76407
948	65366.51952
949	65347.93158
950	65338.74586
951	65284.68741
952	65269.06507
953	65247.42013
954	65212.49131
955	65179.02265
956	65144.60824
957	65114.39932
958	65103.44582
959	65089.73859
960	65072.6191
961	65058.20112
962	65052.41972
963	65050.34207
964	65043.96107
965	65005.66445
966	64988.08322
967	64942.45665
968	64910.92725
969	64855.85871
970	64846.63013
971	64844.34107
972	64819.54883
973	64811.11502
974	64780.85459
975	64757.17706
976	64727.70713
977	64724.67833
978	64706.04189
979	64697.476
980	64677.08713
981	64645.07785
982	64636.56526
983	64629.28265
984	64613.16938
985	64591.33112
986	64541.17609
987	64509.43848
988	64485.51008
989	64479.50591
990	64407.2628
991	64400.24882
992	64397.48726
993	64329.60801
994	64306.83603
995	64290.05637
996	64283.04016
997	64254.91678
998	64249.99022
999	64241.55199
